:START_ID(File),:END_ID(Directory)
DISBURSEMENT/disbursement_pre_posting.py,DISBURSEMENT
DISBURSEMENT/disbursement_test.py,DISBURSEMENT
DISBURSEMENT/disbursement_post_posting.py,DISBURSEMENT
INTEREST/interest_pre_posting.py,INTEREST
INTEREST/interest_schedule_code.py,INTEREST
INTEREST/interest_test.py,INTEREST
INTEREST/interest_post_posting.py,INTEREST
MANAGEMENT FEES/management_fees_test.py,MANAGEMENT FEES
MANAGEMENT FEES/management_fees_pre_posting.py,MANAGEMENT FEES
MANAGEMENT FEES/management_fees_post_posting.py,MANAGEMENT FEES
MANAGEMENT FEES/management_fees_schedule_code.py,MANAGEMENT FEES
SIMULATION/simulation_test.py,SIMULATION
SIMULATION/simulation_derived_parameters.py,SIMULATION
NEW_CLAIM/new_claim_pre_posting.py,NEW_CLAIM
NEW_CLAIM/new_claim_fees_test.py,NEW_CLAIM
NEW_CLAIM/new_claim_post_posting.py,NEW_CLAIM
NEW_CLAIM/new_claim_schedule_code.py,NEW_CLAIM
INITIALISE SMART CONTRACT/initialise_smart_contract.py,INITIALISE SMART CONTRACT
INITIALISE SMART CONTRACT/initialise_smart_contract_test.py,INITIALISE SMART CONTRACT
DIRECT_DEBIT/direct_debit_test.py,DIRECT_DEBIT
DIRECT_DEBIT/direct_debit_schedule_code.py,DIRECT_DEBIT
DIRECT_DEBIT/direct_debit_post_posting.py,DIRECT_DEBIT
DIRECT_DEBIT/direct_debit_pre_posting.py,DIRECT_DEBIT
INTEREST PAYMENT SCHEDULE/interest_payment_test.py,INTEREST PAYMENT SCHEDULE
INTEREST PAYMENT SCHEDULE/interest_payment_post_posting.py,INTEREST PAYMENT SCHEDULE
INTEREST PAYMENT SCHEDULE/interest_payment_schedule_code.py,INTEREST PAYMENT SCHEDULE
INTEREST PAYMENT SCHEDULE/interest_payment_pre_posting.py,INTEREST PAYMENT SCHEDULE
INITIALISE SMART CONTRACT/subvention_mvp.py,INITIALISE SMART CONTRACT
